cafe_id, business_name,cafe_name,cafe_rating,visitor_reviews,blog_reviews,address,business_hours,cafe_phone_no,cafe_info,keyword,latitude,longitude
10,봉덕3동 프렌네,카페 프렌네,0.0,25,21,대구 남구 대덕로30길 34-2 1층,11:00 - 22:00,010-6778-7270,coffee / tee / sandwich / cake / cookie 수제디저트카페 유기농설탕으로만든 청과 수제쨈을 사용합니다!,"{'친절해요': '13', '커피가 맛있어요': '12', '디저트가 맛있어요': '6', '음료가 맛있어요': '4', '가성비가 좋아요': '4', '매장이 청결해요': '4', '특별한 메뉴가 있어요': '3', '집중하기 좋아요': '3', '인테리어가 멋져요': '2', '화장실이 깨끗해요': '2', '좌석이 편해요': '1'}",35.8402458,128.5986191
11,파동 커피온니두,커피온니두,4.27,313,100,대구 남구 대덕로40길 80-1,09:30 - 22:00,053-473-9955,"커피와 천연발효빵,맛있는 식사가 있는 커피온니두","{'커피가 맛있어요': '74', '디저트가 맛있어요': '35', '친절해요': '34', '대화하기 좋아요': '34', '음료가 맛있어요': '29', '특별한 메뉴가 있어요': '26', '매장이 청결해요': '25', '인테리어가 멋져요': '14', '좌석이 편해요': '8', '사진이 잘 나와요': '6', '화장실이 깨끗해요': '4', '집중하기 좋아요': '3', '가성비가 좋아요': '2', '뷰가 좋아요': '2', '주차하기 편해요': '1'}",35.8375834,128.6039863
12,봉덕2동 라벨라마띠나,라벨라마띠나,4.92,14,0,대구 남구 대덕로40길 80-18,10:00 - 21:00,0507-1362-3111,NO INFO,{},35.837272,128.6035991
13,대명11동 소소우드,소소우드,0.0,87,23,대구 남구 대륙2길 6 1층 소소우드,,0507-1423-7732,"커피와 라떼류, 그리고 디저트를 매일 준비하고 있습니다. 내부 테이블도 10개 이상 준비 되어 있 으니 오셔서 편하게 드시다 가시면 됩니다.","{'디저트가 맛있어요': '59', '친절해요': '56', '커피가 맛있어요': '48', '음료가 맛있어요': '40', '인테리어가 멋져요': '36', '사진이 잘 나와요': '36', '매장이 청결해요': '33', '대화하기 좋아요': '24', '화장실이 깨끗해요': '15', '집중하기 좋아요': '13', '가성비가 좋아요': '10', '특별한 메뉴가 있어요': '8', '좌석이 편해요': '7', '주차하기 편해요': '3', '차분한 분위기에요': '1', '빵이 맛있어요': '1', '차가 맛있어요': '1'}",35.8351633,128.5663804
14,대명6동 운남차정,운남차정,4.76,204,219,대구 남구 대명남로 115,12:00 - 22:00,053-526-0029,운남차정 [구름의 남쪽 차마시는 뜰] 대구 앞산에 위치한 계절의 풍미를 담은 차한잔의 여유를 제 공하는 도심속 작은정원 운남차정입니다. ...,{},35.8351135,128.5708865
15,대명6동 카페복만네,카페복만네,0.0,101,15,대구 남구 대명남로 124,10:00 - 23:00,,저희는 식당이 아닙니다. 커피와 빵을 판매하는 카페입니다,"{'디저트가 맛있어요': '36', '커피가 맛있어요': '30', '가성비가 좋아요': '28', '음료가 맛있어요': '13'}",35.8346619,128.5717952
16,대명9동 퍼스널스커피,퍼스널스커피,0.0,37,2,대구 남구 대명남로 151 1층,"10:30 - 20:30
20:00 라스트오더",0507-1466-1997,"모든사람의 퍼스널 커피취향을 찾아떠나는 공간입니다^^
퍼스널스만의 분위기와 다양한 커피,디저트를 경험해보아요!
언제나 여러분들을 맞이 할 준비되어 있습니다","{'커피가 맛있어요': '30', '인테리어가 멋져요': '25', '디저트가 맛있어요': '21', '친절해요': '20', '매장이 청결해요': '18', '음료가 맛있어요': '13', '특별한 메뉴가 있어요': '9', '사진이 잘 나와요': '8', '좌석이 편해요': '7', '음식이 맛있어요': '4', '대화하기 좋아요': '4', '화장실이 깨끗해요': '4', '컨셉이 독특해요': '1', '아늑해요': '1', '음악이 좋아요': '1', '오래 머무르기 좋아요': '1'}",35.8357819,128.5748977
17,대명1동 오마모리,오마모리 앞산,4.49,867,643,대구 남구 대명남로 167,,0507-1464-2060,NO INFO,"{'인테리어가 멋져요': '193', '디저트가 맛있어요': '191', '매장이 청결해요': '135', '음료가 맛있어요': '131', '특별한 메뉴가 있어요': '126'}",35.8358752,128.5762995
18,대명9동 강낭시에,강낭시에,0.0,102,94,대구 남구 대명남로 168-1 1층,,0507-1315-3682,"강낭시에:) 강사장님이 만드는 휘낭시에

손님들께 맛있는 디저트를 제공하기 위해 매일 연구하는 강낭시에 입니다.

오랜시간 카페에서 일하며 정해진 디저트보다 늘 입맛을 새롭게 해줄 여러 디저트를 즐겼으면 하는 마음에 카페를 차렸습니다.

몸과 마음은 편하게, 입은 즐겁고 새로운 맛을 제공하기 위해 노력하는 강낭시에가 되겠습니다.","{'디저트가 맛있어요': '90', '친절해요': '70', '매장이 청결해요': '56', '커피가 맛있어요': '50', '음료가 맛있어요': '41', '특별한 메뉴가 있어요': '30', '가성비가 좋아요': '28', '대화하기 좋아요': '17', '인테리어가 멋져요': '12', '사진이 잘 나와요': '11', '좌석이 편해요': '7', '집중하기 좋아요': '7', '화장실이 깨끗해요': '5', '포장이 깔끔해요': '3', '빵이 맛있어요': '2', '뷰가 좋아요': '2', '재료가 신선해요': '1', '선물하기 좋아요': '1'}",35.8354485,128.576469
19,대명9동 마리아쥬커피,마리아쥬커피,0.0,193,89,대구 남구 대명남로 174-2,,0507-1409-6685,"핸드드립 커피, 에스프레소 베이스 커피 모두 잘하는 곳이다. 더치커피도 인기가 좋다. 대부분의 메뉴는 테이크아웃이 가능하다. 원두는 매일 직접 볶아서 사용하며 원두는 매장과 온라인사이트(www.mariagecoffee.kr)에서 구매가능하다. 간단한 케이크와 쿠키 종류도 즐길 수 있다. -2013블루리본서베이 본문내용","{'커피가 맛있어요': '76', '친절해요': '56', '대화하기 좋아요': '25', '디저트가 맛있어요': '23', '음료가 맛있어요': '14', '특별한 메뉴가 있어요': '13', '매장이 청결해요': '11', '집중하기 좋아요': '8', '가성비가 좋아요': '7', '인테리어가 멋져요': '6', '화장실이 깨끗해요': '5', '사진이 잘 나와요': '4', '뷰가 좋아요': '4'}",35.8354506,128.5770019
20,대명1동 슈만과클라라,슈만과클라라,0.0,106,10,대구 남구 대명남로 175,,,NO INFO,"{'커피가 맛있어요': '64', '디저트가 맛있어요': '40', '음료가 맛있어요': '26', '대화하기 좋아요': '19', '인테리어가 멋져요': '18', '친절해요': '18', '매장이 청결해요': '16', '특별한 메뉴가 있어요': '12', '좌석이 편해요': '9', '뷰가 좋아요': '9', '주차하기 편해요': '8', '화장실이 깨끗해요': '8', '사진이 잘 나와요': '3', '가성비가 좋아요': '3'}",35.8357468,128.5773354
21,대명1동 앞산커피하우스,앞산커피하우스,4.4,545,152,대구 남구 대명남로 175,10:00 - 23:00,0507-1311-3969,NO INFO,"{'커피가 맛있어요': '103', '디저트가 맛있어요': '60', '친절해요': '46', '대화하기 좋아요': '41', '주차하기 편해요': '39', '인테리어가 멋져요': '38', '매장이 청결해요': '36', '음료가 맛있어요': '35', '좌석이 편해요': '17', '뷰가 좋아요': '17', '화장실이 깨끗해요': '14', '특별한 메뉴가 있어요': '13', '집중하기 좋아요': '9', '사진이 잘 나와요': '6', '가성비가 좋아요': '5'}",35.8357468,128.5773354
22,대명1동 파스쿠찌 대구앞산정은점,파스쿠찌 대구앞산점,4.39,673,18,대구 남구 대명남로 191,11:30 - 24:00,053-657-6007,NO INFO,"{'커피가 맛있어요': '120', '주차하기 편해요': '75', '음료가 맛있어요': '63', '대화하기 좋아요': '59', '매장이 청결해요': '52', '디저트가 맛있어요': '51', '친절해요': '48', '좌석이 편해요': '40', '특별한 메뉴가 있어요': '20', '집중하기 좋아요': '20', '화장실이 깨끗해요': '19', '인테리어가 멋져요': '18', '가성비가 좋아요': '15', '뷰가 좋아요': '14', '사진이 잘 나와요': '7'}",35.835735,128.579088
23,대명6동 즉흥적인,앞산 즉흥적인 카페,4.42,150,335,대구 남구 대명남로 64 앞산 즉흥적인 카페,,010-4395-1299,안녕하세요. 온 마음을 다하는 따뜻함 대구 카페 즈킁입니다 저희 즉흥적인은 2018년 2월에 카페 로 오픈하여 23년 현재 5살을 맞이하여 스...,"{'디저트가 맛있어요': '72', '친절해요': '43', '커피가 맛있어요': '34', '특별한 메뉴가 있어요': '29', '인테리어가 멋져요': '25'}",35.8347693,128.5650648
24,대명10동 핸즈커피 써니킨점,핸즈커피 써니킨점,4.36,167,25,대구 남구 대명로 124,09:00 - 23:00,053-629-5778,NO INFO,"{'커피가 맛있어요': '38', '음료가 맛있어요': '23', '친절해요': '17', '디저트가 맛있어요': '15', '대화하기 좋아요': '10', '좌석이 편해요': '9', '주차하기 편해요': '8', '매장이 청결해요': '6', '가성비가 좋아요': '5', '특별한 메뉴가 있어요': '5', '집중하기 좋아요': '5', '인테리어가 멋져요': '4', '화장실이 깨끗해요': '3'}",35.8391155,128.5709289
25,대명4동 빵장수단팥빵 카페소담 대명점,빵장수단팥빵카페 소담대명점,0.0,118,56,대구 남구 대명로 125,08:00 - 22:00,070-8287-1450,NO INFO,{},35.839669,128.5715361
26,대명4동 캔버스커피 대명역점,캔버스커피 대명역점,0.0,287,3,대구 남구 대명로 125 1층 캔버스 커피,08:00 - 21:30,053-622-3147,22년3월1일에 오픈한 캔버스커피입니다. 최선을 다하겠습니다.,"{'커피가 맛있어요': '136', '가성비가 좋아요': '79', '음료가 맛있어요': '62', '친절해요': '62', '매장이 청결해요': '16', '디저트가 맛있어요': '15', '특별한 메뉴가 있어요': '15', '대화하기 좋아요': '5', '좌석이 편해요': '4', '사진이 잘 나와요': '3', '집중하기 좋아요': '3', '뷰가 좋아요': '3', '인테리어가 멋져요': '2'}",35.839669,128.5715361
27,대명10동 로우시티,로우시티 Row City coffeebar,0.0,34,20,대구 남구 대명로 136 1층 로우시티,"08:00 - 19:00
18:50 라스트오더",0507-1355-3485,NO INFO,"{'디저트가 맛있어요': '25', '친절해요': '20', '커피가 맛있어요': '14', '인테리어가 멋져요': '14', '매장이 청결해요': '12', '음료가 맛있어요': '10', '사진이 잘 나와요': '10', '특별한 메뉴가 있어요': '9', '집중하기 좋아요': '4', '가성비가 좋아요': '3', '화장실이 깨끗해요': '3', '대화하기 좋아요': '2'}",35.8391025,128.5723946
28,대명1동 카페노브,노브 대명점,4.62,233,0,대구 남구 대명로 137,08:00 - 20:00,0507-1301-6865,그저 싼맛에 사먹는다 ! 라는 테이크아웃에 대한 인식을 조금이나마 바꾸고싶었습니다. 싸지만 맛까지 챙기는 노브가 되겠습니다 :),"{'친절해요': '51', '가성비가 좋아요': '50', '매장이 청결해요': '30', '커피가 맛있어요': '22', '음료가 맛있어요': '20', '주차하기 편해요': '18', '특별한 메뉴가 있어요': '8', '디저트가 맛있어요': '6', '인테리어가 멋져요': '6', '뷰가 좋아요': '5', '좌석이 편해요': '4', '사진이 잘 나와요': '4', '화장실이 깨끗해요': '4', '대화하기 좋아요': '3', '집중하기 좋아요': '2'}",35.839571,128.5728217
29,대명1동 이디야커피 대구드림병원점,이디야커피 대구드림병원점,0.0,77,2,"대구 남구 대명로 153 , 1층 이디야커피",08:30 - 20:00,053-622-8420,"Always beside you, EDIYA COFFEE
일상 속 모두에게 커피를 통한 휴식과 영감을 제공하는 이디야커피는,
대한민국의 커피 문화를 만들어가는 가장 가까운 안식처입니다.","{'친절해요': '42', '커피가 맛있어요': '31', '음료가 맛있어요': '22', '매장이 청결해요': '20', '가성비가 좋아요': '11', '디저트가 맛있어요': '5', '인테리어가 멋져요': '4', '대화하기 좋아요': '4', '주차하기 편해요': '3', '사진이 잘 나와요': '3', '좌석이 편해요': '2', '집중하기 좋아요': '2', '화장실이 깨끗해요': '2', '뷰가 좋아요': '2', '주문제작을 잘해줘요': '1'}",35.8396131,128.5745156
30,대명11동 카페엠트리 서부점,카페엠트리 서부점,4.61,69,0,대구 남구 대명로 16,,053-623-1133,"6인용 스터디룸이 있어요~ 문이 있어서 단독으로 사용가능합니다 예약 후 이용하시면 됩니다^^
 053-623-1133으로 문의주세요","{'음료가 맛있어요': '13', '커피가 맛있어요': '12', '대화하기 좋아요': '11', '가성비가 좋아요': '10', '특별한 메뉴가 있어요': '6'}",35.8376945,128.5593776
31,대명1동 몬스터커피 안지랑점,몬스터커피 안지랑점,0.0,114,2,대구 남구 대명로 162 1층,09:00 - 22:00,0507-1412-0607,"향기로운 커피, 착즙에이드, 수제청으로 만든 음료를 합리적인 가격에 만나실 수 있는 몬스터 커피 입니다","{'커피가 맛있어요': '55', '친절해요': '53', '가성비가 좋아요': '34', '음료가 맛있어요': '28', '매장이 청결해요': '14', '디저트가 맛있어요': '6', '특별한 메뉴가 있어요': '3', '인테리어가 멋져요': '2', '대화하기 좋아요': '2', '화장실이 깨끗해요': '2', '좌석이 편해요': '1', '주차하기 편해요': '1', '사진이 잘 나와요': '1'}",35.8388767,128.5754278
32,대명9동 카페봄봄 안지랑점,카페봄봄 안지랑점,4.48,495,0,대구 남구 대명로 170,08:00 - 22:00,0507-1400-4426,재료를 아끼지 않습니다~!!!,"{'커피가 맛있어요': '119', '가성비가 좋아요': '93', '음료가 맛있어요': '89', '친절해요': '71', '매장이 청결해요': '13', '디저트가 맛있어요': '12', '특별한 메뉴가 있어요': '9', '대화하기 좋아요': '6', '좌석이 편해요': '5', '주차하기 편해요': '4', '인테리어가 멋져요': '3', '집중하기 좋아요': '3', '사진이 잘 나와요': '2', '뷰가 좋아요': '2'}",35.8387977,128.5763253
33,대명1동 카페달달,카페달달,4.01,64,0,대구 남구 대명로 176 1층,,053-652-9250,NO INFO,"{'커피가 맛있어요': '17', '친절해요': '7', '음료가 맛있어요': '6', '가성비가 좋아요': '5', '매장이 청결해요': '2', '디저트가 맛있어요': '1', '주차하기 편해요': '1', '특별한 메뉴가 있어요': '1', '뷰가 좋아요': '1'}",35.8385954,128.5767687
34,대명1동 앞산밑북카페,앞산밑 북카페,0.0,9,6,대구 남구 대명로 182,,053-622-1900,NO INFO,{},35.8388139,128.5777313
35,대명1동 카페유럽,카페유럽,4.38,34,21,대구 남구 대명로 196,,053-627-2697,NO INFO,"{'커피가 맛있어요': '7', '좌석이 편해요': '5', '인테리어가 멋져요': '5', '친절해요': '5', '대화하기 좋아요': '5', '매장이 청결해요': '4', '가성비가 좋아요': '2', '집중하기 좋아요': '2', '디저트가 맛있어요': '1', '음료가 맛있어요': '1', '주차하기 편해요': '1', '화장실이 깨끗해요': '1', '뷰가 좋아요': '1'}",35.8394527,128.5791207
36,대명1동 맨리스커세권 현충로점,맨리스커세권 현충로점,0.0,1,1,대구 남구 대명로 206 1층,00:00 - 24:00,0507-1424-8279,"대구 남구 대명 현충로역 2번으로 나와 앞산네거리 횡단보도 앞에 위치해 있습니다!
인건비를 절감하여 커피와 음료의 품질에 신경을 많이 썼습니다!
쾌적한 환경과 아늑한 인테리어로 편안한 티타임을 즐기시기 좋습니다!",{},35.8399396,128.580259
37,대명6동 카페 늘,카페 늘,5.0,32,0,대구 남구 대명로 25 1층 카페 늘,09:00 - 19:00,0507-1461-2838,"스페셜티원두,
수제디저트,
수제청에이드,
프랑스 수입 생지 사용 크로플, 크로아상,
제주유기농말차","{'커피가 맛있어요': '14', '친절해요': '12', '매장이 청결해요': '6', '가성비가 좋아요': '5', '디저트가 맛있어요': '4', '음료가 맛있어요': '4', '인테리어가 멋져요': '4', '대화하기 좋아요': '4', '좌석이 편해요': '3', '사진이 잘 나와요': '2', '화장실이 깨끗해요': '2', '주차하기 편해요': '1', '특별한 메뉴가 있어요': '1', '집중하기 좋아요': '1', '뷰가 좋아요': '1'}",35.8386127,128.5602249
38,대명5동 카페1052,카페1052,0.0,11,1,대구 남구 대명로 283 1층,07:30 - 22:00,0507-1435-1086,NO INFO,"{'친절해요': '5', '가성비가 좋아요': '5', '커피가 맛있어요': '4', '음료가 맛있어요': '2', '특별한 메뉴가 있어요': '2', '매장이 청결해요': '2', '디저트가 맛있어요': '1', '사진이 잘 나와요': '1'}",35.843969,128.5871651
39,대명5동 포프커피,포프커피,4.67,49,0,대구 남구 대명로 298,09:00 - 20:00,053-657-2102,영대병원역 2번출구 옆에 위치하고 있습니다. 음료와 디저트가 맛있는 카페 입니다.,"{'커피가 맛있어요': '22', '친절해요': '17', '매장이 청결해요': '12', '음료가 맛있어요': '9', '가성비가 좋아요': '8', '디저트가 맛있어요': '3', '좌석이 편해요': '2', '인테리어가 멋져요': '1', '특별한 메뉴가 있어요': '1', '대화하기 좋아요': '1', '화장실이 깨끗해요': '1', '뷰가 좋아요': '1'}",35.8443241,128.5888319
40,대명5동 스테이어스,스테이어스,0.0,11,9,대구 남구 대명로 299-1 2층,11:00 - 22:00,0507-1382-0151,"개인카페, 신상카페, 분위기 좋은카페, 커피가 맛있는 카페입니다. 유기농 설탕을 사용하여 만든 수제청을 이용하여 에이드를 만들고 있어서, 달지도 인공적이지도 않은 상큼한 에이드 맛을 보실수 있으실 거에요..! 또한, 최고급 원두를 사용하고 있어서, 저렴한 가격에 맛있는 커피를 맛보실 수 있습니다.
귀여운 소품들을 보면서 커피한잔 즐기지 않으실래요~?",{},35.8448089,128.5886653
41,대명5동 카페인중독 대구영대병원점,카페인중독 대구영대병원점,0.0,80,8,대구 남구 대명로 305 1층,"09:00 - 03:00
02:45 라스트오더",0507-1332-8149,미리 전화주시고 방문해주시면 빠른 픽업 가능합니다. 배달주문은 배달의 민족 앱 이용해주시기 바랍니다. 전화로 배달주문 불가합니다.,"{'디저트가 맛있어요': '54', '친절해요': '38', '음료가 맛있어요': '30', '매장이 청결해요': '29'}",35.8449261,128.5891057
42,봉덕3동 아킨니,아킨니,4.65,208,263,대구 남구 대명로 314 아킨니,"10:00 - 22:00
21:30 라스트오더",0507-1398-3203,NO INFO,"{'뷰가 좋아요': '80', '커피가 맛있어요': '79', '사진이 잘 나와요': '64', '친절해요': '46', '인테리어가 멋져요': '36', '매장이 청결해요': '31', '음료가 맛있어요': '29', '대화하기 좋아요': '24', '디저트가 맛있어요': '22', '좌석이 편해요': '19', '가성비가 좋아요': '14', '특별한 메뉴가 있어요': '13', '화장실이 깨끗해요': '13', '집중하기 좋아요': '4', '주차하기 편해요': '1'}",35.8448919,128.590041
43,대명11동 몬스터커피 대명점,몬스터커피 대명점,4.59,295,12,대구 남구 대명로 66,"07:30 - 22:00
21:45 라스트오더",053-657-7759,NO INFO,"{'커피가 맛있어요': '133', '가성비가 좋아요': '102', '친절해요': '80', '음료가 맛있어요': '74', '매장이 청결해요': '42', '디저트가 맛있어요': '17', '대화하기 좋아요': '14', '특별한 메뉴가 있어요': '11', '인테리어가 멋져요': '9', '좌석이 편해요': '7', '화장실이 깨끗해요': '6', '주차하기 편해요': '5', '뷰가 좋아요': '5', '집중하기 좋아요': '3', '사진이 잘 나와요': '1'}",35.8389048,128.5648986
44,대명10동 더리터 대명역점,더리터 대명역점,4.36,395,16,대구 남구 대명로 66,09:00 - 22:00,070-8780-3043,NO INFO,"{'가성비가 좋아요': '89', '커피가 맛있어요': '78', '친절해요': '60', '음료가 맛있어요': '51', '디저트가 맛있어요': '20', '매장이 청결해요': '19', '좌석이 편해요': '14', '특별한 메뉴가 있어요': '11', '화장실이 깨끗해요': '11', '대화하기 좋아요': '8', '인테리어가 멋져요': '7', '주차하기 편해요': '6', '집중하기 좋아요': '5', '뷰가 좋아요': '5', '사진이 잘 나와요': '4'}",35.8389048,128.5648986
45,대명10동 카페봄봄 대명역점,카페봄봄 대명역점,0.0,5,1,대구 남구 대명로 69 102동 106호,,0507-1399-8171,"Cafe 봄봄은 모든 연령대가 즐길 수 있는 매장입니다.
Cafe 봄봄에서 따스하고 산뜻한 봄을 한 잔 마시고, 잠시 여유를 가져 보길 바라는 마음입니다.",{},35.839569,128.5654895
46,대명4동 파스쿠찌 대구대명역점,파스쿠찌 대구대명역점,4.58,926,35,대구 남구 대명로 73 (대명동),08:00 - 24:00,053-656-8497,파스쿠찌 대구대명역점입니다. 네이버 스마트주문에서 간편하게 주문하세요!,"{'커피가 맛있어요': '183', '주차하기 편해요': '138', '음료가 맛있어요': '122', '대화하기 좋아요': '107', '친절해요': '102', '매장이 청결해요': '86', '좌석이 편해요': '84', '디저트가 맛있어요': '64', '집중하기 좋아요': '51', '인테리어가 멋져요': '45', '가성비가 좋아요': '27', '화장실이 깨끗해요': '24', '특별한 메뉴가 있어요': '18', '사진이 잘 나와요': '10', '뷰가 좋아요': '8', '읽을만한 책이 많아요': '1'}",35.8395966,128.565921
47,대명6동 가이아,가이아커피,0.0,39,5,대구 남구 대명로14길 111,"10:30 - 22:00
21:30 라스트오더",0507-1449-0273,"수제 에이드와 라떼 맛집 가이아커피입니다.

에이드류 하나하나 수제로 착즙해서 만들고 있어요.
수제 에이드지만 저렴한 가격에 맛보실 수 있습니다.
과일이 들어가는 것은 전부 수제로 만들고 있어요.

돌체라떼와 바닐라 향과 풍미가 가득한 바닐라라떼가 대표 메뉴입니다 :)

나무가 많이 들어간 유럽풍 우드톤 인테리어에 미술 작가들이 그린 벽화들로 꾸며진 은은한 분위기의 매장에서 통창의 햇살을 받으며 커피를 즐겨보세요.","{'친절해요': '15', '대화하기 좋아요': '11', '좌석이 편해요': '9', '커피가 맛있어요': '8', '매장이 청결해요': '8', '집중하기 좋아요': '7', '음료가 맛있어요': '6', '인테리어가 멋져요': '5', '가성비가 좋아요': '3', '특별한 메뉴가 있어요': '3', '화장실이 깨끗해요': '3', '디저트가 맛있어요': '2', '뷰가 좋아요': '2', '주차하기 편해요': '1'}",35.834157,128.5650392
48,대명11동 카페오슬링(Osling),카페 오슬링,0.0,36,4,대구 남구 대명로14길 134 1-2층,"12:00 - 21:00
20:30 라스트오더",0507-1411-1164,"안녕하세요. 앞산에 위치한 카페 오슬링입니다. 매일 직접 만든 디저트와 샌드위치, 커피를 제공해 드리고 있습니다.
따뜻하고 아늑한 공간에서 편히 머물다 가실 수 있는 공간이 되기를 바랍니다.

* 2층은 계단, 난간 등 안전상 노키즈존(13세 이하)으로 운영됩니다. 양해 부탁드립니다.","{'친절해요': '17', '주차하기 편해요': '14', '매장이 청결해요': '12', '커피가 맛있어요': '11', '좌석이 편해요': '10', '뷰가 좋아요': '10', '음료가 맛있어요': '9', '인테리어가 멋져요': '9', '사진이 잘 나와요': '7', '화장실이 깨끗해요': '7', '디저트가 맛있어요': '5', '대화하기 좋아요': '5', '가성비가 좋아요': '4', '특별한 메뉴가 있어요': '3'}",35.8330672,128.5646951
49,대명11동 매카,매카,4.62,82,0,대구 남구 대명로14길 136-1,,,NO INFO,"{'친절해요': '17', '커피가 맛있어요': '15', '가성비가 좋아요': '15', '뷰가 좋아요': '7', '대화하기 좋아요': '5', '음료가 맛있어요': '4', '인테리어가 멋져요': '4', '매장이 청결해요': '4', '사진이 잘 나와요': '3', '디저트가 맛있어요': '2', '좌석이 편해요': '1', '주차하기 편해요': '1'}",35.8328921,128.5647743
50,대명4동 카페신선25,카페신선25,0.0,2,51,대구 남구 대명로19길 26 1층,,0507-1339-1674,"안녕하세요. 이름값하는 카페, 신선25입니다. 카 페 신선의 모든 음식은 사랑하는 사람이 먹는다 는 생각으로 좋은 재료를 아낌없이 담아 ...",{},35.8407782,128.5678573
51,대명6동 미르커피,미르커피 대명초등학교점,4.5,25,0,대구 남구 대명로20길 8,,053-622-5854,NO INFO,{},35.83902399999999,128.5678146
